"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"1","Native","Native 1",6,"disamb","fp","disamb fp",2,0,407,407,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"4","Native","Native 1",1,"disamb","fp","disamb fp",1,0,159,159,"Ambiguous","Consistent",0.5,-0.5,-0.5
"5","Native","Native 1",16,"disamb","fp","disamb fp",4,0,415,415,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"7","Native","Native 1",13,"disamb","fp","disamb fp",1,0,547,547,"Ambiguous","Consistent",0.5,-0.5,-0.5
"8","Native","Native 1",3,"disamb","fp","disamb fp",3,0,186,186,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"10","Native","Native 1",10,"disamb","fp","disamb fp",2,0,211,211,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"12","Native","Native 1",7,"disamb","fp","disamb fp",3,0,362,362,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"14","Native","Native 1",20,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15","Native","Native 1",4,"disamb","fp","disamb fp",4,0,158,158,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"16","Native","Native 1",8,"disamb","fp","disamb fp",4,0,384,384,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"18","Native","Native 1",15,"disamb","fp","disamb fp",3,0,277,277,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"20","Native","Native 1",22,"disamb","fp","disamb fp",2,0,222,222,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"22","Native","Native 1",19,"disamb","fp","disamb fp",3,0,421,421,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"25","Native","Native 1",12,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"28","Native","Native 1",23,"disamb","fp","disamb fp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"30","Native","Native 1",17,"disamb","fp","disamb fp",1,0,360,360,"Ambiguous","Consistent",0.5,-0.5,-0.5
"31","Native","Native 1",21,"disamb","fp","disamb fp",1,0,227,227,"Ambiguous","Consistent",0.5,-0.5,-0.5
"35","Native","Native 1",24,"disamb","fp","disamb fp",4,0,398,398,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"37","Native","Native 1",14,"disamb","fp","disamb fp",2,0,536,536,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"38","Native","Native 1",11,"disamb","fp","disamb fp",3,0,305,305,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"39","Native","Native 1",9,"disamb","fp","disamb fp",1,0,444,444,"Ambiguous","Consistent",0.5,-0.5,-0.5
"43","Native","Native 1",5,"disamb","fp","disamb fp",1,0,347,347,"Ambiguous","Consistent",0.5,-0.5,-0.5
"44","Native","Native 1",2,"disamb","fp","disamb fp",2,0,188,188,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"47","Native","Native 1",18,"disamb","fp","disamb fp",2,0,350,350,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"52","Native","Native 2",20,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"53","Native","Native 2",5,"disamb","fp","disamb fp",2,0,295,295,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"54","Native","Native 2",12,"disamb","fp","disamb fp",1,0,189,189,"Ambiguous","Consistent",0.5,-0.5,-0.5
"55","Native","Native 2",2,"disamb","fp","disamb fp",3,0,207,207,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"56","Native","Native 2",9,"disamb","fp","disamb fp",2,0,245,245,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"60","Native","Native 2",16,"disamb","fp","disamb fp",1,0,180,180,"Ambiguous","Consistent",0.5,-0.5,-0.5
"61","Native","Native 2",1,"disamb","fp","disamb fp",2,0,182,182,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"64","Native","Native 2",13,"disamb","fp","disamb fp",2,1,0,NA,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"65","Native","Native 2",10,"disamb","fp","disamb fp",3,0,322,322,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"70","Native","Native 2",7,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"73","Native","Native 2",24,"disamb","fp","disamb fp",1,0,182,182,"Ambiguous","Consistent",0.5,-0.5,-0.5
"76","Native","Native 2",23,"disamb","fp","disamb fp",4,0,191,191,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"77","Native","Native 2",4,"disamb","fp","disamb fp",1,0,245,245,"Ambiguous","Consistent",0.5,-0.5,-0.5
"80","Native","Native 2",19,"disamb","fp","disamb fp",4,0,341,341,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"81","Native","Native 2",22,"disamb","fp","disamb fp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"84","Native","Native 2",8,"disamb","fp","disamb fp",1,0,277,277,"Ambiguous","Consistent",0.5,-0.5,-0.5
"85","Native","Native 2",3,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"86","Native","Native 2",17,"disamb","fp","disamb fp",2,0,261,261,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"89","Native","Native 2",21,"disamb","fp","disamb fp",2,1,0,NA,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"90","Native","Native 2",14,"disamb","fp","disamb fp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"91","Native","Native 2",18,"disamb","fp","disamb fp",3,0,267,267,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"93","Native","Native 2",6,"disamb","fp","disamb fp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"95","Native","Native 2",11,"disamb","fp","disamb fp",4,0,223,223,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"96","Native","Native 2",15,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"99","Native","Native 3",18,"disamb","fp","disamb fp",4,0,303,303,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"102","Native","Native 3",4,"disamb","fp","disamb fp",2,0,153,153,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"106","Native","Native 3",15,"disamb","fp","disamb fp",1,0,429,429,"Ambiguous","Consistent",0.5,-0.5,-0.5
"107","Native","Native 3",10,"disamb","fp","disamb fp",4,0,320,320,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
