"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"24948","Native","Native 1",6,"continuation","tt","continuation tt",2,0,270,270,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"24951","Native","Native 1",1,"continuation","tt","continuation tt",1,0,132,132,"Ambiguous","Consistent",0.5,-0.5,-0.5
"24952","Native","Native 1",16,"continuation","tt","continuation tt",4,0,711,711,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"24954","Native","Native 1",13,"continuation","tt","continuation tt",1,0,445,445,"Ambiguous","Consistent",0.5,-0.5,-0.5
"24955","Native","Native 1",3,"continuation","tt","continuation tt",3,0,856,856,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"24957","Native","Native 1",10,"continuation","tt","continuation tt",2,0,989,989,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"24959","Native","Native 1",7,"continuation","tt","continuation tt",3,0,665,665,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"24961","Native","Native 1",20,"continuation","tt","continuation tt",4,0,1017,1017,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"24962","Native","Native 1",4,"continuation","tt","continuation tt",4,0,793,793,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"24963","Native","Native 1",8,"continuation","tt","continuation tt",4,0,1496,1496,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"24965","Native","Native 1",15,"continuation","tt","continuation tt",3,0,367,367,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"24967","Native","Native 1",22,"continuation","tt","continuation tt",2,0,655,655,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"24969","Native","Native 1",19,"continuation","tt","continuation tt",3,0,768,768,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"24972","Native","Native 1",12,"continuation","tt","continuation tt",4,0,564,564,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"24975","Native","Native 1",23,"continuation","tt","continuation tt",3,0,548,548,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"24977","Native","Native 1",17,"continuation","tt","continuation tt",1,0,265,265,"Ambiguous","Consistent",0.5,-0.5,-0.5
"24978","Native","Native 1",21,"continuation","tt","continuation tt",1,0,198,198,"Ambiguous","Consistent",0.5,-0.5,-0.5
