"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"15353","Native","Native 1",6,"continuation","rp","continuation rp",2,0,270,270,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15356","Native","Native 1",1,"continuation","rp","continuation rp",1,0,132,132,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15357","Native","Native 1",16,"continuation","rp","continuation rp",4,0,225,225,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15359","Native","Native 1",13,"continuation","rp","continuation rp",1,0,311,311,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15360","Native","Native 1",3,"continuation","rp","continuation rp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15362","Native","Native 1",10,"continuation","rp","continuation rp",2,0,989,989,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15364","Native","Native 1",7,"continuation","rp","continuation rp",3,0,373,373,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15366","Native","Native 1",20,"continuation","rp","continuation rp",4,0,375,375,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15367","Native","Native 1",4,"continuation","rp","continuation rp",4,0,405,405,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15368","Native","Native 1",8,"continuation","rp","continuation rp",4,0,197,197,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15370","Native","Native 1",15,"continuation","rp","continuation rp",3,0,585,585,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15372","Native","Native 1",22,"continuation","rp","continuation rp",2,0,397,397,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15374","Native","Native 1",19,"continuation","rp","continuation rp",3,0,654,654,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15377","Native","Native 1",12,"continuation","rp","continuation rp",4,0,564,564,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15380","Native","Native 1",23,"continuation","rp","continuation rp",3,0,548,548,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15382","Native","Native 1",17,"continuation","rp","continuation rp",1,0,265,265,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15383","Native","Native 1",21,"continuation","rp","continuation rp",1,0,198,198,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15387","Native","Native 1",24,"continuation","rp","continuation rp",4,0,939,939,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15389","Native","Native 1",14,"continuation","rp","continuation rp",2,0,460,460,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15390","Native","Native 1",11,"continuation","rp","continuation rp",3,0,321,321,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15391","Native","Native 1",9,"continuation","rp","continuation rp",1,0,240,240,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15395","Native","Native 1",5,"continuation","rp","continuation rp",1,0,174,174,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15396","Native","Native 1",2,"continuation","rp","continuation rp",2,0,410,410,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15399","Native","Native 1",18,"continuation","rp","continuation rp",2,0,312,312,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15404","Native","Native 2",20,"continuation","rp","continuation rp",1,0,201,201,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15405","Native","Native 2",5,"continuation","rp","continuation rp",2,0,169,169,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15406","Native","Native 2",12,"continuation","rp","continuation rp",1,0,188,188,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15407","Native","Native 2",2,"continuation","rp","continuation rp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15408","Native","Native 2",9,"continuation","rp","continuation rp",2,0,212,212,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15412","Native","Native 2",16,"continuation","rp","continuation rp",1,0,177,177,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15413","Native","Native 2",1,"continuation","rp","continuation rp",2,0,182,182,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15416","Native","Native 2",13,"continuation","rp","continuation rp",2,0,166,166,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15417","Native","Native 2",10,"continuation","rp","continuation rp",3,0,236,236,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15422","Native","Native 2",7,"continuation","rp","continuation rp",4,0,227,227,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15425","Native","Native 2",24,"continuation","rp","continuation rp",1,0,244,244,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15428","Native","Native 2",23,"continuation","rp","continuation rp",4,0,987,987,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15429","Native","Native 2",4,"continuation","rp","continuation rp",1,0,154,154,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15432","Native","Native 2",19,"continuation","rp","continuation rp",4,0,180,180,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15433","Native","Native 2",22,"continuation","rp","continuation rp",3,0,424,424,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15436","Native","Native 2",8,"continuation","rp","continuation rp",1,0,217,217,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15437","Native","Native 2",3,"continuation","rp","continuation rp",4,0,369,369,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15438","Native","Native 2",17,"continuation","rp","continuation rp",2,0,168,168,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15441","Native","Native 2",21,"continuation","rp","continuation rp",2,0,486,486,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15442","Native","Native 2",14,"continuation","rp","continuation rp",3,0,320,320,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15443","Native","Native 2",18,"continuation","rp","continuation rp",3,0,626,626,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15445","Native","Native 2",6,"continuation","rp","continuation rp",3,0,761,761,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15447","Native","Native 2",11,"continuation","rp","continuation rp",4,0,148,148,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15448","Native","Native 2",15,"continuation","rp","continuation rp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15451","Native","Native 3",18,"continuation","rp","continuation rp",4,0,422,422,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15454","Native","Native 3",4,"continuation","rp","continuation rp",2,0,192,192,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15458","Native","Native 3",15,"continuation","rp","continuation rp",1,0,917,917,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15459","Native","Native 3",10,"continuation","rp","continuation rp",4,0,360,360,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15460","Native","Native 3",23,"continuation","rp","continuation rp",1,0,182,182,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15461","Native","Native 3",17,"continuation","rp","continuation rp",3,0,349,349,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15463","Native","Native 3",9,"continuation","rp","continuation rp",3,0,612,612,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15464","Native","Native 3",22,"continuation","rp","continuation rp",4,0,258,258,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15473","Native","Native 3",13,"continuation","rp","continuation rp",3,0,351,351,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15474","Native","Native 3",1,"continuation","rp","continuation rp",3,0,395,395,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15475","Native","Native 3",5,"continuation","rp","continuation rp",3,0,372,372,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15477","Native","Native 3",11,"continuation","rp","continuation rp",1,0,260,260,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15478","Native","Native 3",16,"continuation","rp","continuation rp",2,0,770,770,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15479","Native","Native 3",6,"continuation","rp","continuation rp",4,0,353,353,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15480","Native","Native 3",21,"continuation","rp","continuation rp",3,0,202,202,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15481","Native","Native 3",3,"continuation","rp","continuation rp",1,0,255,255,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15483","Native","Native 3",7,"continuation","rp","continuation rp",1,0,195,195,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15488","Native","Native 3",14,"continuation","rp","continuation rp",4,0,418,418,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15489","Native","Native 3",19,"continuation","rp","continuation rp",1,0,278,278,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15490","Native","Native 3",20,"continuation","rp","continuation rp",2,0,342,342,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15492","Native","Native 3",8,"continuation","rp","continuation rp",2,0,179,179,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15493","Native","Native 3",2,"continuation","rp","continuation rp",4,0,494,494,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15495","Native","Native 3",24,"continuation","rp","continuation rp",2,0,350,350,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15496","Native","Native 3",12,"continuation","rp","continuation rp",2,0,159,159,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15497","Native","Native 4",5,"continuation","rp","continuation rp",4,0,173,173,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15498","Native","Native 4",10,"continuation","rp","continuation rp",1,0,1683,1683,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15501","Native","Native 4",12,"continuation","rp","continuation rp",3,0,423,423,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15502","Native","Native 4",14,"continuation","rp","continuation rp",1,0,122,122,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15505","Native","Native 4",11,"continuation","rp","continuation rp",2,0,155,155,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15507","Native","Native 4",18,"continuation","rp","continuation rp",1,0,214,214,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15508","Native","Native 4",7,"continuation","rp","continuation rp",2,0,212,212,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15510","Native","Native 4",20,"continuation","rp","continuation rp",3,0,391,391,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15511","Native","Native 4",22,"continuation","rp","continuation rp",1,0,297,297,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15514","Native","Native 4",16,"continuation","rp","continuation rp",3,0,497,497,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15515","Native","Native 4",17,"continuation","rp","continuation rp",4,0,593,593,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15519","Native","Native 4",2,"continuation","rp","continuation rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15520","Native","Native 4",8,"continuation","rp","continuation rp",3,0,886,886,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15529","Native","Native 4",23,"continuation","rp","continuation rp",2,0,212,212,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15530","Native","Native 4",4,"continuation","rp","continuation rp",3,0,264,264,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15532","Native","Native 4",21,"continuation","rp","continuation rp",4,0,221,221,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15533","Native","Native 4",9,"continuation","rp","continuation rp",4,0,506,506,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15536","Native","Native 4",3,"continuation","rp","continuation rp",2,0,794,794,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15537","Native","Native 4",1,"continuation","rp","continuation rp",4,0,154,154,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15538","Native","Native 4",19,"continuation","rp","continuation rp",2,0,619,619,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15539","Native","Native 4",13,"continuation","rp","continuation rp",4,0,382,382,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15540","Native","Native 4",6,"continuation","rp","continuation rp",1,0,442,442,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15541","Native","Native 4",24,"continuation","rp","continuation rp",3,0,172,172,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15543","Native","Native 4",15,"continuation","rp","continuation rp",2,0,1067,1067,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15545","Native","Native 5",13,"continuation","rp","continuation rp",1,0,248,248,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15546","Native","Native 5",6,"continuation","rp","continuation rp",2,0,241,241,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15547","Native","Native 5",21,"continuation","rp","continuation rp",1,0,196,196,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15548","Native","Native 5",24,"continuation","rp","continuation rp",4,0,268,268,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15553","Native","Native 5",11,"continuation","rp","continuation rp",3,0,150,150,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15554","Native","Native 5",18,"continuation","rp","continuation rp",2,0,260,260,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15556","Native","Native 5",16,"continuation","rp","continuation rp",4,0,142,142,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15558","Native","Native 5",7,"continuation","rp","continuation rp",3,0,194,194,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15565","Native","Native 5",3,"continuation","rp","continuation rp",3,0,203,203,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15570","Native","Native 5",14,"continuation","rp","continuation rp",2,0,297,297,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15571","Native","Native 5",20,"continuation","rp","continuation rp",4,0,557,557,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15572","Native","Native 5",2,"continuation","rp","continuation rp",2,0,162,162,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15573","Native","Native 5",8,"continuation","rp","continuation rp",4,0,228,228,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15575","Native","Native 5",15,"continuation","rp","continuation rp",3,0,486,486,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15578","Native","Native 5",10,"continuation","rp","continuation rp",2,0,176,176,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15582","Native","Native 5",23,"continuation","rp","continuation rp",3,0,251,251,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15583","Native","Native 5",4,"continuation","rp","continuation rp",4,0,162,162,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15585","Native","Native 5",9,"continuation","rp","continuation rp",1,0,178,178,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15586","Native","Native 5",17,"continuation","rp","continuation rp",1,0,180,180,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15587","Native","Native 5",12,"continuation","rp","continuation rp",4,0,207,207,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15588","Native","Native 5",22,"continuation","rp","continuation rp",2,0,189,189,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15589","Native","Native 5",5,"continuation","rp","continuation rp",1,0,158,158,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15590","Native","Native 5",19,"continuation","rp","continuation rp",3,0,178,178,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15591","Native","Native 5",1,"continuation","rp","continuation rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15593","Native","Native 6",21,"continuation","rp","continuation rp",2,0,385,385,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15596","Native","Native 6",15,"continuation","rp","continuation rp",4,0,270,270,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15597","Native","Native 6",6,"continuation","rp","continuation rp",3,0,368,368,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15599","Native","Native 6",19,"continuation","rp","continuation rp",4,0,356,356,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15607","Native","Native 6",10,"continuation","rp","continuation rp",3,0,276,276,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15609","Native","Native 6",24,"continuation","rp","continuation rp",1,0,360,360,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15610","Native","Native 6",5,"continuation","rp","continuation rp",2,0,325,325,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15611","Native","Native 6",2,"continuation","rp","continuation rp",3,0,296,296,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15612","Native","Native 6",14,"continuation","rp","continuation rp",3,0,342,342,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15615","Native","Native 6",18,"continuation","rp","continuation rp",3,0,224,224,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15617","Native","Native 6",7,"continuation","rp","continuation rp",4,0,581,581,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15619","Native","Native 6",17,"continuation","rp","continuation rp",2,0,172,172,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15620","Native","Native 6",23,"continuation","rp","continuation rp",4,0,595,595,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15621","Native","Native 6",8,"continuation","rp","continuation rp",1,0,204,204,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15625","Native","Native 6",3,"continuation","rp","continuation rp",4,0,349,349,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15626","Native","Native 6",20,"continuation","rp","continuation rp",1,0,199,199,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15627","Native","Native 6",16,"continuation","rp","continuation rp",1,0,223,223,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15629","Native","Native 6",4,"continuation","rp","continuation rp",1,0,199,199,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15630","Native","Native 6",13,"continuation","rp","continuation rp",2,0,174,174,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15631","Native","Native 6",9,"continuation","rp","continuation rp",2,0,292,292,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15635","Native","Native 6",22,"continuation","rp","continuation rp",3,0,167,167,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15636","Native","Native 6",11,"continuation","rp","continuation rp",4,0,159,159,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15638","Native","Native 6",1,"continuation","rp","continuation rp",2,0,207,207,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15640","Native","Native 6",12,"continuation","rp","continuation rp",1,0,228,228,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15644","Native","Native 7",20,"continuation","rp","continuation rp",2,0,224,224,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15645","Native","Native 7",3,"continuation","rp","continuation rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15647","Native","Native 7",9,"continuation","rp","continuation rp",3,0,113,113,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15648","Native","Native 7",1,"continuation","rp","continuation rp",3,0,326,326,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15649","Native","Native 7",7,"continuation","rp","continuation rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15655","Native","Native 7",15,"continuation","rp","continuation rp",1,0,489,489,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15657","Native","Native 7",12,"continuation","rp","continuation rp",2,0,688,688,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15658","Native","Native 7",24,"continuation","rp","continuation rp",2,0,163,163,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15661","Native","Native 7",22,"continuation","rp","continuation rp",4,0,534,534,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15662","Native","Native 7",8,"continuation","rp","continuation rp",2,1,0,NA,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15663","Native","Native 7",6,"continuation","rp","continuation rp",4,0,584,584,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15664","Native","Native 7",16,"continuation","rp","continuation rp",2,0,106,106,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"15667","Native","Native 7",18,"continuation","rp","continuation rp",4,0,343,343,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15668","Native","Native 7",2,"continuation","rp","continuation rp",4,0,299,299,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15671","Native","Native 7",11,"continuation","rp","continuation rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15673","Native","Native 7",14,"continuation","rp","continuation rp",4,0,428,428,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"15674","Native","Native 7",13,"continuation","rp","continuation rp",3,0,378,378,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15676","Native","Native 7",5,"continuation","rp","continuation rp",3,0,314,314,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15678","Native","Native 7",19,"continuation","rp","continuation rp",1,0,255,255,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15682","Native","Native 7",21,"continuation","rp","continuation rp",3,0,239,239,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"15684","Native","Native 7",23,"continuation","rp","continuation rp",1,0,138,138,"Ambiguous","Consistent",0.5,-0.5,-0.5
"15685","Native","Native 7",4,"continuation","rp","continuation rp",2,0,307,307,"Unambiguous","Consistent",-0.5,-0.5,-0.5
